id,products,total,discountedTotal,userId,totalProducts,totalQuantity
114,"[{'id': 105, 'title': 'Apple MagSafe Battery Pack', 'price': 99.99, 'quantity': 2, 'total': 199.98, 'discountPercentage': 17.17, 'discountedTotal': 165.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp'}, {'id': 117, 'title': 'Sportbike Motorcycle', 'price': 7499.99, 'quantity': 5, 'total': 37499.95, 'discountPercentage': 11.58, 'discountedTotal': 33157.46, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp'}]",37699.93,33323.1,114,2,7
115,"[{'id': 166, 'title': 'Tartan Dress', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 12.95, 'discountedTotal': 69.62, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp'}, {'id': 81, 'title': 'Lenovo Yoga 920', 'price': 1099.99, 'quantity': 4, 'total': 4399.96, 'discountPercentage': 6.55, 'discountedTotal': 4111.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp'}, {'id': 69, 'title': 'Plate', 'price': 3.99, 'quantity': 2, 'total': 7.98, 'discountPercentage': 7.31, 'discountedTotal': 7.4, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp'}, {'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 4, 'total': 35.96, 'discountPercentage': 9.58, 'discountedTotal': 32.52, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp'}, {'id': 23, 'title': 'Eggs', 'price': 2.99, 'quantity': 1, 'total': 2.99, 'discountPercentage': 11.05, 'discountedTotal': 2.66, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp'}]",4526.87,4223.96,115,5,13
116,"[{'id': 144, 'title': 'Cricket Helmet', 'price': 44.99, 'quantity': 1, 'total': 44.99, 'discountPercentage': 9.64, 'discountedTotal': 40.65, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp'}, {'id': 21, 'title': 'Cucumber', 'price': 1.49, 'quantity': 5, 'total': 7.45, 'discountPercentage': 0.16, 'discountedTotal': 7.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp'}, {'id': 116, 'title': 'Scooter Motorcycle', 'price': 2999.99, 'quantity': 3, 'total': 8999.97, 'discountPercentage': 6.27, 'discountedTotal': 8435.67, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp'}, {'id': 111, 'title': 'Selfie Stick Monopod', 'price': 12.99, 'quantity': 3, 'total': 38.97, 'discountPercentage': 19.12, 'discountedTotal': 31.52, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp'}, {'id': 120, 'title': 'Vaseline Men Body and Face Lotion', 'price': 9.99, 'quantity': 5, 'total': 49.95, 'discountPercentage': 13.39, 'discountedTotal': 43.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp'}]",9141.33,8558.54,116,5,17
117,"[{'id': 11, 'title': 'Annibale Colombo Bed', 'price': 1899.99, 'quantity': 2, 'total': 3799.98, 'discountPercentage': 8.57, 'discountedTotal': 3474.32, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp'}, {'id': 69, 'title': 'Plate', 'price': 3.99, 'quantity': 1, 'total': 3.99, 'discountPercentage': 7.31, 'discountedTotal': 3.7, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp'}, {'id': 37, 'title': 'Red Onions', 'price': 1.99, 'quantity': 3, 'total': 5.97, 'discountPercentage': 9.9, 'discountedTotal': 5.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp'}, {'id': 176, 'title': 'Women Handbag Black', 'price': 59.99, 'quantity': 3, 'total': 179.97, 'discountPercentage': 11.63, 'discountedTotal': 159.04, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp'}, {'id': 80, 'title': 'Huawei Matebook X Pro', 'price': 1399.99, 'quantity': 5, 'total': 6999.95, 'discountPercentage': 9.38, 'discountedTotal': 6343.35, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp'}]",10989.86,9985.79,117,5,14
118,"[{'id': 60, 'title': 'Grater Black', 'price': 10.99, 'quantity': 4, 'total': 43.96, 'discountPercentage': 3.56, 'discountedTotal': 42.4, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp'}, {'id': 183, 'title': 'Green Oval Earring', 'price': 24.99, 'quantity': 2, 'total': 49.98, 'discountPercentage': 15.18, 'discountedTotal': 42.39, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp'}, {'id': 120, 'title': 'Vaseline Men Body and Face Lotion', 'price': 9.99, 'quantity': 4, 'total': 39.96, 'discountPercentage': 13.39, 'discountedTotal': 34.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp'}, {'id': 33, 'title': 'Mulberry', 'price': 4.99, 'quantity': 5, 'total': 24.950000000000003, 'discountPercentage': 12.87, 'discountedTotal': 21.74, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp'}]",158.85,141.14,118,4,15
119,"[{'id': 104, 'title': 'Apple iPhone Charger', 'price': 19.99, 'quantity': 2, 'total': 39.98, 'discountPercentage': 18.52, 'discountedTotal': 32.58, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp'}, {'id': 100, 'title': 'Apple Airpods', 'price': 129.99, 'quantity': 2, 'total': 259.98, 'discountPercentage': 15.54, 'discountedTotal': 219.58, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp'}]",299.96,252.16,119,2,4
120,"[{'id': 105, 'title': 'Apple MagSafe Battery Pack', 'price': 99.99, 'quantity': 2, 'total': 199.98, 'discountPercentage': 17.17, 'discountedTotal': 165.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp'}, {'id': 45, 'title': 'House Showpiece Plant', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 7.46, 'discountedTotal': 74.01, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp'}, {'id': 88, 'title': 'Nike Air Jordan 1 Red And Black', 'price': 149.99, 'quantity': 4, 'total': 599.96, 'discountPercentage': 4.12, 'discountedTotal': 575.24, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp'}]",879.92,814.89,120,3,8
121,"[{'id': 60, 'title': 'Grater Black', 'price': 10.99, 'quantity': 5, 'total': 54.95, 'discountPercentage': 3.56, 'discountedTotal': 52.99, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp'}, {'id': 42, 'title': 'Water', 'price': 0.99, 'quantity': 3, 'total': 2.9699999999999998, 'discountPercentage': 14.92, 'discountedTotal': 2.53, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp'}, {'id': 53, 'title': 'Chopping Board', 'price': 12.99, 'quantity': 2, 'total': 25.98, 'discountPercentage': 8.03, 'discountedTotal': 23.89, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp'}]",83.9,79.41,121,3,10
122,"[{'id': 95, 'title': 'Rolex Cellini Date Black Dial', 'price': 8999.99, 'quantity': 3, 'total': 26999.97, 'discountPercentage': 8.88, 'discountedTotal': 24602.37, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp'}, {'id': 184, 'title': 'Tropical Earring', 'price': 19.99, 'quantity': 2, 'total': 39.98, 'discountPercentage': 0.76, 'discountedTotal': 39.68, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp'}, {'id': 47, 'title': 'Table Lamp', 'price': 49.99, 'quantity': 1, 'total': 49.99, 'discountPercentage': 7.09, 'discountedTotal': 46.45, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp'}]",27089.94,24688.5,122,3,6
123,"[{'id': 183, 'title': 'Green Oval Earring', 'price': 24.99, 'quantity': 4, 'total': 99.96, 'discountPercentage': 15.18, 'discountedTotal': 84.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp'}, {'id': 116, 'title': 'Scooter Motorcycle', 'price': 2999.99, 'quantity': 3, 'total': 8999.97, 'discountPercentage': 6.27, 'discountedTotal': 8435.67, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp'}, {'id': 155, 'title': 'Classic Sun Glasses', 'price': 24.99, 'quantity': 4, 'total': 99.96, 'discountPercentage': 4.94, 'discountedTotal': 95.02, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp'}, {'id': 53, 'title': 'Chopping Board', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 8.03, 'discountedTotal': 47.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp'}, {'id': 115, 'title': 'MotoGP CI.H1', 'price': 14999.99, 'quantity': 5, 'total': 74999.95, 'discountPercentage': 6.92, 'discountedTotal': 69809.95, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp'}, {'id': 180, 'title': 'Dress Pea', 'price': 49.99, 'quantity': 1, 'total': 49.99, 'discountPercentage': 17.68, 'discountedTotal': 41.15, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp'}]",84301.79,78514.37,123,6,21
124,"[{'id': 144, 'title': 'Cricket Helmet', 'price': 44.99, 'quantity': 4, 'total': 179.96, 'discountPercentage': 9.64, 'discountedTotal': 162.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp'}, {'id': 149, 'title': 'Iron Golf', 'price': 49.99, 'quantity': 5, 'total': 249.95000000000002, 'discountPercentage': 6.53, 'discountedTotal': 233.63, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp'}, {'id': 146, 'title': 'Feather Shuttlecock', 'price': 5.99, 'quantity': 5, 'total': 29.950000000000003, 'discountPercentage': 2.95, 'discountedTotal': 29.07, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp'}, {'id': 120, 'title': 'Vaseline Men Body and Face Lotion', 'price': 9.99, 'quantity': 1, 'total': 9.99, 'discountPercentage': 13.39, 'discountedTotal': 8.65, 'thumbnail': 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp'}]",469.85,433.96,124,4,15
125,"[{'id': 123, 'title': 'iPhone 13 Pro', 'price': 1099.99, 'quantity': 3, 'total': 3299.9700000000003, 'discountPercentage': 9.37, 'discountedTotal': 2990.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp'}, {'id': 4, 'title': 'Red Lipstick', 'price': 12.99, 'quantity': 5, 'total': 64.95, 'discountPercentage': 12.16, 'discountedTotal': 57.05, 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp'}]",3364.92,3047.81,125,2,8
126,"[{'id': 181, 'title': 'Marni Red & Black Suit', 'price': 179.99, 'quantity': 2, 'total': 359.98, 'discountPercentage': 19.02, 'discountedTotal': 291.51, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp'}, {'id': 68, 'title': 'Pan', 'price': 24.99, 'quantity': 5, 'total': 124.94999999999999, 'discountPercentage': 3, 'discountedTotal': 121.2, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp'}, {'id': 69, 'title': 'Plate', 'price': 3.99, 'quantity': 2, 'total': 7.98, 'discountPercentage': 7.31, 'discountedTotal': 7.4, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp'}, {'id': 127, 'title': 'Oppo K1', 'price': 299.99, 'quantity': 2, 'total': 599.98, 'discountPercentage': 18.29, 'discountedTotal': 490.24, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp'}, {'id': 30, 'title': 'Kiwi', 'price': 2.49, 'quantity': 5, 'total': 12.450000000000001, 'discountPercentage': 15.22, 'discountedTotal': 10.56, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp'}]",1105.34,920.91,126,5,16
127,"[{'id': 140, 'title': 'Basketball', 'price': 14.99, 'quantity': 2, 'total': 29.98, 'discountPercentage': 7.44, 'discountedTotal': 27.75, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/basketball/thumbnail.webp'}, {'id': 128, 'title': 'Realme C35', 'price': 149.99, 'quantity': 3, 'total': 449.97, 'discountPercentage': 15.3, 'discountedTotal': 381.12, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp'}, {'id': 87, 'title': 'Men Check Shirt', 'price': 27.99, 'quantity': 3, 'total': 83.97, 'discountPercentage': 11.38, 'discountedTotal': 74.41, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp'}, {'id': 46, 'title': 'Plant Pot', 'price': 14.99, 'quantity': 4, 'total': 59.96, 'discountPercentage': 6.84, 'discountedTotal': 55.86, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp'}, {'id': 121, 'title': 'iPhone 5s', 'price': 199.99, 'quantity': 2, 'total': 399.98, 'discountPercentage': 12.91, 'discountedTotal': 348.34, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp'}]",1023.86,887.48,127,5,14
