id,title,description,category,price,discountPercentage,rating,stock,tags,brand,sku,weight,dimensions,warrantyInformation,shippingInformation,availabilityStatus,reviews,returnPolicy,minimumOrderQuantity,meta,images,thumbnail
111,Selfie Stick Monopod,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,mobile-accessories,12.99,19.12,3.88,11,"['electronics', 'selfie accessories']",SnapTech,MOB-SNA-SEL-111,2,"{'width': 24.76, 'height': 26.38, 'depth': 21.39}",3 year warranty,Ships in 1-2 business days,In Stock,"[{'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ryan Graham', 'reviewerEmail': 'ryan.graham@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nora Russell', 'reviewerEmail': 'nora.russell@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Luna Perez', 'reviewerEmail': 'luna.perez@x.dummyjson.com'}]",30 days return policy,8,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '7063982050226', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}",['https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/1.webp'],https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp
112,TV Studio Camera Pedestal,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,mobile-accessories,499.99,8.31,2.78,15,"['electronics', 'camera accessories']",ProVision,MOB-PRO-STU-112,4,"{'width': 29.84, 'height': 11.01, 'depth': 6.81}",3 months warranty,Ships in 1-2 business days,In Stock,"[{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Aubrey Gutierrez', 'reviewerEmail': 'aubrey.gutierrez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Carter Rivera', 'reviewerEmail': 'carter.rivera@x.dummyjson.com'}, {'rating': 5, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Max Russell', 'reviewerEmail': 'max.russell@x.dummyjson.com'}]",7 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '1488782082307', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}",['https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/1.webp'],https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp
113,Generic Motorcycle,"The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",motorcycle,3999.99,12.1,4.91,34,['motorcycles'],Generic Motors,MOT-GEN-GEN-113,8,"{'width': 26.23, 'height': 14.04, 'depth': 17.87}",1 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hunter Gordon', 'reviewerEmail': 'hunter.gordon@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}, {'rating': 1, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elena Long', 'reviewerEmail': 'elena.long@x.dummyjson.com'}]",7 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '2304118422941', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/1.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/2.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/3.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/4.webp']",https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
114,Kawasaki Z800,"The Kawasaki Z800 is a powerful and agile sportbike known for its striking design and performance. It's equipped with advanced features, making it a favorite among motorcycle enthusiasts.",motorcycle,8999.99,9.77,3.98,52,"['motorcycles', 'sportbikes']",Kawasaki,MOT-KAW-KAW-114,9,"{'width': 18.3, 'height': 18.27, 'depth': 16.06}",Lifetime warranty,Ships in 3-5 business days,In Stock,"[{'rating': 4, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Scarlett Bowman', 'reviewerEmail': 'scarlett.bowman@x.dummyjson.com'}, {'rating': 5, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Gabriel Bailey', 'reviewerEmail': 'gabriel.bailey@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Henry Hill', 'reviewerEmail': 'henry.hill@x.dummyjson.com'}]",90 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '7320871299196', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/1.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/2.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/3.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/4.webp']",https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/thumbnail.webp
115,MotoGP CI.H1,The MotoGP CI.H1 is a high-performance motorcycle inspired by MotoGP racing technology. It offers cutting-edge features and precision engineering for an exhilarating riding experience.,motorcycle,14999.99,6.92,2.97,10,"['motorcycles', 'sportbikes']",MotoGP,MOT-MOT-MOT-115,1,"{'width': 19.33, 'height': 17.31, 'depth': 12.05}",1 month warranty,Ships in 3-5 business days,In Stock,"[{'rating': 4, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Brandon Collins', 'reviewerEmail': 'brandon.collins@x.dummyjson.com'}, {'rating': 5, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Miles Stevenson', 'reviewerEmail': 'miles.stevenson@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Grayson Coleman', 'reviewerEmail': 'grayson.coleman@x.dummyjson.com'}]",30 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '1635178066049', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/1.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/2.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/3.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/4.webp']",https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp
116,Scooter Motorcycle,The Scooter Motorcycle is a practical and fuel-efficient bike ideal for urban commuting. It features a step-through design and user-friendly controls for easy maneuverability.,motorcycle,2999.99,6.27,2.53,84,"['motorcycles', 'scooters']",ScootMaster,MOT-SCO-SCO-116,7,"{'width': 27.31, 'height': 19.34, 'depth': 26.72}",5 year warranty,Ships overnight,In Stock,"[{'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Luna Perez', 'reviewerEmail': 'luna.perez@x.dummyjson.com'}, {'rating': 2, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Samantha Howard', 'reviewerEmail': 'samantha.howard@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Noah Hernandez', 'reviewerEmail': 'noah.hernandez@x.dummyjson.com'}]",7 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '6595209798181', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/1.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/2.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/3.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/4.webp']",https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp
117,Sportbike Motorcycle,"The Sportbike Motorcycle is designed for speed and agility, with a sleek and aerodynamic profile. It's suitable for riders looking for a dynamic and thrilling riding experience.",motorcycle,7499.99,11.58,3.94,0,"['motorcycles', 'sportbikes']",SpeedMaster,MOT-SPE-SPO-117,10,"{'width': 22.5, 'height': 22.74, 'depth': 8.38}",5 year warranty,Ships in 2 weeks,Out of Stock,"[{'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Mason Parker', 'reviewerEmail': 'mason.parker@x.dummyjson.com'}, {'rating': 1, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Daniel Cook', 'reviewerEmail': 'daniel.cook@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Isabella Anderson', 'reviewerEmail': 'isabella.anderson@x.dummyjson.com'}]",30 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '8451323904420', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/1.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/2.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/3.webp', 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/4.webp']",https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp
118,Attitude Super Leaves Hand Soap,"Attitude Super Leaves Hand Soap is a natural and nourishing hand soap enriched with the goodness of super leaves. It cleanses and moisturizes your hands, leaving them feeling fresh and soft.",skin-care,8.99,18.49,3.19,94,"['personal care', 'hand soap']",Attitude,SKI-ATT-ATT-118,1,"{'width': 14.05, 'height': 8.3, 'depth': 16.62}",6 months warranty,Ships overnight,In Stock,"[{'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Liam Garcia', 'reviewerEmail': 'liam.garcia@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Victoria McDonald', 'reviewerEmail': 'victoria.mcdonald@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hannah Robinson', 'reviewerEmail': 'hannah.robinson@x.dummyjson.com'}]",60 days return policy,41,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '3566048905322', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/1.webp', 'https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/2.webp', 'https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/3.webp']",https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp
119,Olay Ultra Moisture Shea Butter Body Wash,Olay Ultra Moisture Shea Butter Body Wash is a luxurious body wash that hydrates and nourishes your skin with the moisturizing power of shea butter. Enjoy a rich lather and silky-smooth skin.,skin-care,12.99,16.39,4.51,34,"['personal care', 'body wash']",Olay,SKI-OLA-OLA-119,4,"{'width': 25.23, 'height': 28.33, 'depth': 11.89}",1 year warranty,Ships in 1-2 business days,In Stock,"[{'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Abigail Rivera', 'reviewerEmail': 'abigail.rivera@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Hunter Gordon', 'reviewerEmail': 'hunter.gordon@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Zoe Bennett', 'reviewerEmail': 'zoe.bennett@x.dummyjson.com'}]",30 days return policy,33,"{'createdAt': '2025-04-30T09:41:02.053Z', 'updatedAt': '2025-04-30T09:41:02.053Z', 'barcode': '6532659691643', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/1.webp', 'https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/2.webp', 'https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/3.webp']",https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/thumbnail.webp
120,Vaseline Men Body and Face Lotion,Vaseline Men Body and Face Lotion is a specially formulated lotion designed to provide long-lasting moisture to men's skin. It absorbs quickly and helps keep the skin hydrated and healthy.,skin-care,9.99,13.39,3.16,95,"['personal care', 'body lotion']",Vaseline,SKI-VAS-VAS-120,4,"{'width': 21.83, 'height': 17.38, 'depth': 24.76}",Lifetime warranty,Ships overnight,In Stock,"[{'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Aria Ferguson', 'reviewerEmail': 'aria.ferguson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Nova Cooper', 'reviewerEmail': 'nova.cooper@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Madison Collins', 'reviewerEmail': 'madison.collins@x.dummyjson.com'}]",90 days return policy,9,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '8483207319090', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/1.webp', 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/2.webp', 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/3.webp']",https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp
121,iPhone 5s,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",smartphones,199.99,12.91,2.83,25,"['smartphones', 'apple']",Apple,SMA-APP-IPH-121,2,"{'width': 5.29, 'height': 18.38, 'depth': 17.72}",Lifetime warranty,Ships in 1 month,In Stock,"[{'rating': 5, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Jace Smith', 'reviewerEmail': 'jace.smith@x.dummyjson.com'}, {'rating': 1, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Logan Torres', 'reviewerEmail': 'logan.torres@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Harper Kelly', 'reviewerEmail': 'harper.kelly@x.dummyjson.com'}]",60 days return policy,3,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '8814683940853', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp
122,iPhone 6,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",smartphones,299.99,6.69,3.41,60,"['smartphones', 'apple']",Apple,SMA-APP-IPH-122,7,"{'width': 11, 'height': 9.1, 'depth': 9.67}",1 month warranty,Ships overnight,In Stock,"[{'rating': 3, 'comment': 'Disappointing product!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Stella Morris', 'reviewerEmail': 'stella.morris@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Nolan Gonzalez', 'reviewerEmail': 'nolan.gonzalez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Benjamin Foster', 'reviewerEmail': 'benjamin.foster@x.dummyjson.com'}]",7 days return policy,5,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '9922357685013', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/iphone-6/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-6/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-6/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
123,iPhone 13 Pro,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",smartphones,1099.99,9.37,4.12,56,"['smartphones', 'apple']",Apple,SMA-APP-IPH-123,8,"{'width': 12.63, 'height': 5.28, 'depth': 14.29}",3 year warranty,Ships in 2 weeks,In Stock,"[{'rating': 5, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Christian Perez', 'reviewerEmail': 'christian.perez@x.dummyjson.com'}, {'rating': 3, 'comment': 'Not worth the price!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Liam Gonzalez', 'reviewerEmail': 'liam.gonzalez@x.dummyjson.com'}, {'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Tristan Scott', 'reviewerEmail': 'tristan.scott@x.dummyjson.com'}]",7 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '4998438802308', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
124,iPhone X,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",smartphones,899.99,19.59,2.51,37,"['smartphones', 'apple']",Apple,SMA-APP-IPH-124,1,"{'width': 21.88, 'height': 24.19, 'depth': 14.19}",3 months warranty,Ships in 3-5 business days,In Stock,"[{'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Tyler Davis', 'reviewerEmail': 'tyler.davis@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Aria Parker', 'reviewerEmail': 'aria.parker@x.dummyjson.com'}, {'rating': 2, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Lily Torres', 'reviewerEmail': 'lily.torres@x.dummyjson.com'}]",7 days return policy,2,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '3034949322264', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/iphone-x/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-x/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/iphone-x/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp
125,Oppo A57,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",smartphones,249.99,2.43,3.94,19,"['smartphones', 'oppo']",Oppo,SMA-OPP-OPP-125,5,"{'width': 7.2, 'height': 10.74, 'depth': 23.68}",Lifetime warranty,Ships in 3-5 business days,In Stock,"[{'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Scarlett Wright', 'reviewerEmail': 'scarlett.wright@x.dummyjson.com'}, {'rating': 5, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Jacob Cooper', 'reviewerEmail': 'jacob.cooper@x.dummyjson.com'}, {'rating': 2, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Zoe Nicholson', 'reviewerEmail': 'zoe.nicholson@x.dummyjson.com'}]",90 days return policy,3,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '0651223722522', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp
126,Oppo F19 Pro Plus,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,smartphones,399.99,18.64,3.51,78,"['smartphones', 'oppo']",Oppo,SMA-OPP-OPP-126,6,"{'width': 6.78, 'height': 25.17, 'depth': 8.4}",3 year warranty,Ships in 1 week,In Stock,"[{'rating': 5, 'comment': 'Very happy with my purchase!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Emily Johnson', 'reviewerEmail': 'emily.johnson@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Jaxon Barnes', 'reviewerEmail': 'jaxon.barnes@x.dummyjson.com'}, {'rating': 4, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Nova Cooper', 'reviewerEmail': 'nova.cooper@x.dummyjson.com'}]",90 days return policy,1,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '8576893968169', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp
127,Oppo K1,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",smartphones,299.99,18.29,4.25,55,"['smartphones', 'oppo']",Oppo,SMA-OPP-OPP-127,5,"{'width': 13.89, 'height': 10.63, 'depth': 16.6}",1 month warranty,Ships in 1-2 business days,In Stock,"[{'rating': 4, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Christopher West', 'reviewerEmail': 'christopher.west@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Mia Miller', 'reviewerEmail': 'mia.miller@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Ella Adams', 'reviewerEmail': 'ella.adams@x.dummyjson.com'}]",30 days return policy,5,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '3106827888743', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/3.webp', 'https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/4.webp']",https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp
128,Realme C35,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,smartphones,149.99,15.3,4.2,48,"['smartphones', 'realme']",Realme,SMA-REA-REA-128,2,"{'width': 25.28, 'height': 8.14, 'depth': 29.53}",3 year warranty,Ships overnight,In Stock,"[{'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Penelope King', 'reviewerEmail': 'penelope.king@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Asher Scott', 'reviewerEmail': 'asher.scott@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.054Z', 'reviewerName': 'Henry Adams', 'reviewerEmail': 'henry.adams@x.dummyjson.com'}]",90 days return policy,3,"{'createdAt': '2025-04-30T09:41:02.054Z', 'updatedAt': '2025-04-30T09:41:02.054Z', 'barcode': '7825844344364', 'qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}","['https://cdn.dummyjson.com/product-images/smartphones/realme-c35/1.webp', 'https://cdn.dummyjson.com/product-images/smartphones/realme-c35/2.webp', 'https://cdn.dummyjson.com/product-images/smartphones/realme-c35/3.webp']",https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp
